Datum	Customer	Country	Catalog Number	Catalog Name	Quantity	Price	Total	Currency_ID	Subsidiary
01.12.14	Dis Switzerland	SWITZERLAND	P0753S	Lambda Phosphatase	2	76,8	153,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	P8070L	Enterokinase, light chain	2	242,4	484,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	P8070S	Enterokinase, light chain	1	60,6	60,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0105S	HpaI, recombinant	2	33,6	67,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0111S	NdeI, recombinant	1	37,2	37,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0113S	BstXI, recombinant	1	37,2	37,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0114S	ApaI, recombinant	1	40,8	40,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0116S	Eco53kI, recombinant	1	33,6	33,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0117S	AatII, recombinant	2	33,6	67,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0125S	NlaIII, recombinant	1	39,6	39,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0130S	SnaBI, recombinant	1	34,8	34,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0131L	NheI, recombinant	1	153,6	153,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0131S	NheI, recombinant	2	38,4	76,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0133S	SpeI, recombinant	1	37,2	37,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0134L	BsmI, recombinant	1	158,4	158,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0138L	SalI, recombinant	1	134,4	134,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0138S	SalI, recombinant	1	33,6	33,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0140S	PstI, recombinant	2	38,4	76,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0144S	BglII, recombinant	5	34,8	174	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0145S	XbaI, recombinant	2	40,8	81,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0146S	XhoI, recombinant	2	40,8	81,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0147L	MboI, recombinant	1	168	168	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0149S	TaqI, recombinant	1	33,6	33,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0156S	SacI, recombinant	3	34,8	104,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0157L	SacII, recombinant	1	139,2	139,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0167L	RsaI, recombinant	1	134,4	134,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0174L	AvrII, recombinant	1	163,2	163,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0176L	DpnI, recombinant	2	148,8	297,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0176S	DpnI, recombinant	6	37,2	223,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0180S	XmaI, recombinant	1	40,8	40,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0187S	StuI, recombinant	1	33,6	33,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0189L	NotI, recombinant	1	168	168	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0189S	NotI, recombinant	2	42	84	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0195S	EcoRV, recombinant	1	34,8	34,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0197S	ClaI, recombinant	1	37,2	37,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0198S	MluI, recombinant	1	37,2	37,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0199S	BssHII, recombinant	1	37,2	37,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0501S	RsrII, recombinant	1	42	42	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0509S	PflMI, recombinant	1	37,2	37,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0517S	BspHI, recombinant	3	38,4	115,2	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0519S	BstBI, recombinant	1	34,8	34,8	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0525L	MseI, recombinant	1	158,4	158,4	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0525S	MseI, recombinant	1	39,6	39,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0535S	BsaI, recombinant	1	39,6	39,6	20	New England Biolabs Germany
01.12.14	Dis Switzerland	SWITZERLAND	R0539L	BbsI	3	153,6	460,8	20	New England Biolabs Germany
